Image_Name,Holds_Actual,Holds_Found,Runtime_Seconds,Avg_Confidence,,,,,,,,
test0.png,100,104,0.603,0.7289,,,,,,,,
test1.jpeg,83,87,0.3649,0.7244,,,,,,,,
test10.webp,44,48,0.3501,0.6836,,,,,,,,
test12.jpg,57,61,0.4276,0.7339,,,,,,,,
test13.webp,72,66,0.3772,0.7689,,,,,,,,
test14.webp,98,94,0.2985,0.7481,,,,,,,,
test16.webp,128,116,0.2887,0.6565,,,,,,,,
test17.jpg,189,172,0.3201,0.6884,,,,,,,,
test18.jpg,151,149,0.2835,0.719,,,,,,,,
test2.jpeg,83,85,0.5099,0.7875,,,,,,,,
test3.jpg,122,109,0.2661,0.6752,,,,,,,,
test4.jpg,138,138,0.2893,0.7337,,,,,,,,
test5.jpg,106,108,0.3557,0.7339,,,,,,,,
test6.jpg,79,80,0.2356,0.7097,,,,,,,,
test7.jpg,181,175,0.4356,0.7081,,,,,,,,
test8.jpg,67,68,0.3606,0.7962,,,,,,,,
test9.webp,126,103,0.3231,0.7202,,,,,,,,
,,,6.0895,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,Metric:,Precision,1-Precision (FDR),Recall,False Negative Rate (FNR),F1 score
,,,,,,,,0.962,0.038,0.967,0.033,0.965
